author,published_at,text
@NiningKurniawati-j5e,2025-09-22T04:04:01Z,Itu dari mana downloadnya
@MuhNoval-y7e,2025-09-21T13:28:59Z,miawaug coba kalau berhenti berkerja di game 
@JunaAzhar,2025-09-21T13:04:29Z,kok telor nya k9k
@RagilWijaya-v1j,2025-09-21T12:14:07Z,dah lama gak nonton bang regi jadi dikit2 kaget wkwk
@felisya_off,2025-09-21T11:23:44Z,"heran deh, kenapa orang yang obses malah nyakitin cewek yang diobsesinnya???"
@pratamayuda9445,2025-09-21T10:06:12Z,banyak bener iklannya
@RaniaHayfa,2025-09-21T08:53:16Z,Oaeokfotopt13
@just_fryy,2025-09-21T07:38:41Z,"anjir la, mirip kek di anime ai Hoshino"
@zaky-r8x,2025-09-21T07:03:01Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t792""13:12a itu Prabowo gibran  atau jumbo?"
@ProvinsiIndonesia-p2s,2025-09-21T06:20:10Z,Suka banget sama miawaug
@MegaSaraswati-m3j,2025-09-21T05:13:15Z,Aku dulu dari keluarga miskin. Tidak ada lauk saja aku makan gandum dicampur air terus aku makan nasi sama air garam brbrbrTapi sekarang aku udh bisa makan enak
@Bilcor88,2025-09-21T04:08:01Z,Pas udh 1 jam an pembuatnya typo cuy jadi viktro
@Amreditzzz,2025-09-21T03:05:50Z,Kan bisa dibungkus habis itu bawa pulang nasi gorengnya sama telur nya
@CelsyPutri-h1x,2025-09-21T02:32:20Z,Kak regi maaf aku gk pernah nonto kak regi y karna aku bermain roblox
@Rin_chan_T-R,2025-09-21T00:48:49Z,𝙿𝚊𝚜 𝚋𝚐𝚝 𝚕𝚐𝚒 𝚖𝚊𝚔𝚊𝚗 𝚗𝚊𝚜𝚐𝚘𝚛
@Agus1234-h8m,2025-09-21T00:26:29Z,game apa itu bang
@ReysaFiolandari,2025-09-20T11:40:17Z,Halo Kakak selamatkan dari kota Tangerang dari Banten ya kakak  semangat ya bikin kontennya Nanti aku nonton selalu kakak Kak semoga banyak yang penontonnya ya yang lihat Kakak  Kak jangan lupa ya dibales
@Kiranakriting,2025-09-20T11:29:30Z,Sama gua juga kaget
@MohammadAdamAdam-e1v,2025-09-20T09:45:31Z,Bang koleb samaa Billy yang suka main game horor
@Channel-we2nh,2025-09-20T09:32:20Z,saya menonton miauaug dari umur 4 atau 5 tahun
@AryaHafiy,2025-09-20T06:45:22Z,Ada ending lain kak regi
@wirayuda7174,2025-09-20T06:11:07Z,Aku cari game nya di playstore nggak ada
@joejoeaja714,2025-09-20T05:35:23Z,kok gak ada ya aku mau download
@LutfiUfi-d5m,2025-09-20T01:49:41Z,Kasih caranya bang
@PenggunaA5,2025-09-19T15:21:06Z,
@Raraa_nifahh,2025-09-19T11:12:13Z,pas banget lagi makan nasi goreng
@hikori_chan,2025-09-19T08:39:56Z,Ada yg sadar?yg beli ga bayay
@sakaaaaaaaaaaaaaaaaaaaaaaaaa,2025-09-19T06:56:51Z,bang lu gak pernah barantem
@MarshaBryan-t7f,2025-09-19T06:35:57Z,This is so satisfying.
@ValeriInrikarwur,2025-09-19T04:05:13Z,Ka nama geme nya apa
@SikunirSikunir-i3l,2025-09-18T23:10:02Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t698""11:38a detik2 kaget"
@mochriko6798,2025-09-18T20:35:52Z,gw cari game ini di pleystore gak ada
@Krniarhm,2025-09-18T14:34:34Z,Mia aug lucu sekaliii
@AgusparjosParjos02,2025-09-18T13:16:40Z,Fljdjfsljfll ufjf um hlllcg t gllhlpj lah g yfhrblnbbltn hlrmyfpg vlyng byl lhbculn gdplnl CV yg zpnltp xp yg nlfj fl yg dl gllcl er t MB t f nya BB yg x l td y CV r MH gl td vvld 
@AgusparjosParjos02,2025-09-18T13:15:19Z,Rgcvfcvvvtv gvvtvsgbb vvtggfufshzzllvdlzeclla by lklfjfflshgl vyllxn ylllf glldjlr hldjl. Ltdn lfsn ll hld cllnlfnvlnllclnllfnltfbtdbdhyxyl Nn GK lthllf gllldjl lhllldl vll f
@anggrainiputri-q8s,2025-09-18T08:34:40Z,Sumpah
@anggrainiputri-q8s,2025-09-18T07:44:07Z,Mama Mia lezatos
@BfjadjhNfsidj,2025-09-18T00:40:41Z,Dual-language captions expand global reach.
@faizmuhrizalofficial,2025-09-18T00:31:37Z,siapa yang nonton video ini karena suka nasi goreng
@rohmatsupriatna9205,2025-09-17T18:54:27Z,Tiba tiba jumcsar
@snaurorraa.,2025-09-17T18:07:30Z,endingnya ngakak muter2 
@LyievianapasaymaShilta,2025-09-17T14:12:51Z,Sama bang:)
@AlfianSaputra-s3l,2025-09-17T13:09:32Z,Kok di Palembang harga nasi goreng cuma 10 ribu
@dinkzpublic2740,2025-09-17T11:43:13Z,Banyak gaya viktor rsakan terajang nya
@Xeran.07,2025-09-17T08:06:29Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1872""31:12a kan yg pesan yg kabur itu"
@cucuhapsari5869,2025-09-17T07:54:53Z,Bag game mabar ama kawan kawan pisahin gua suka yang mabar mabar
@Ifah-x8i,2025-09-17T07:54:43Z,Bang main game deesa meraung kidul
@ServasDhae,2025-09-17T07:46:53Z,Banggg baru mau nonton ampe abiss malah aku less
@Xeran.07,2025-09-17T07:39:01Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1535""25:35a baru inget itu bumbu lain nya gk dikasih?"
@hermawansusanto1169,2025-09-17T07:31:50Z,000000
@AbdulSukma-m4d,2025-09-17T06:07:54Z,A aku ihsanz
@YuliWin-s3h,2025-09-17T04:17:45Z,Mukanya kayak Biter Parker Lo padahal
@reeyavalentino,2025-09-17T02:20:16Z,nonton ini sambil makan nasgor goreng
@MillaSulistiawati,2025-09-17T00:18:10Z,bagus bet endingnya
@KendrickClaycomb,2025-09-16T23:07:37Z,Underserved language niches offer outsized search opportunity.
@cntaayy8,2025-09-16T11:37:34Z,"ending kebeneran miawaug mrinding,tapi aku sedih "
@urfyizr,2025-09-16T10:14:58Z,Bang ini game apa bang kalau tau cakap dong
@aksballs,2025-09-16T09:31:58Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3954""1:05:54a"
@aksballs,2025-09-16T09:29:13Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3931""1:05:31a "
@deniislahdirihaiden,2025-09-16T09:12:44Z,Akan saya coba resepnya mantab wkwkwk
@RaffaMohamad-l2e,2025-09-16T07:04:22Z,
@MasniMasni-nw5ks,2025-09-16T07:02:42Z,3M mask 
@SenseiDhann,2025-09-15T23:17:28Z,ni orang kontennya ga ada matinya
@MulatiyuliMulati,2025-09-15T11:42:07Z,bangkanalkabliy
@halizahchunli2048,2025-09-15T08:52:08Z,OK
@aksballs,2025-09-15T07:31:58Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1960""32:40a brDi Pintu brDi Karpet "
@aksballs,2025-09-15T07:11:38Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t837""13:57a Wkwkwk "
@xjanx2,2025-09-15T03:53:29Z,"Viktornya sus bra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3233""53:53a"
@diahprayoni,2025-09-15T03:11:35Z,apasi lucu bangettt 
@JimarJimar-i6j,2025-09-15T02:02:35Z,
@AlifShahAidid,2025-09-14T15:12:44Z,Ya bang AI nya udh byr sih
@AqillahAprilliyani,2025-09-14T14:54:46Z,Dinda kan teman aku luh di sekolah
@BonBoni-ob5kz,2025-09-14T14:47:33Z,13.13 Jumbo kak Regi?
@fajarkayla8575,2025-09-14T13:46:29Z,Kaket gua
